0,"['0,2,0, {4, 23}']"
1,"['0,1,0, {20}']"
14,"['0,1,0, {19}']"
1430438400,"['0,1,0, {86}']"
1430524799,"['0,1,0, {87}']"
1491,"['0,1,0, {85}']"
2,"['0,2,0, {3, 133}']"
20150501,"['0,1,0, {72}']"
20150502,"['0,1,0, {76}']"
20180501t070348z,"['0,1,0, {80}']"
20180501t070927z,"['0,1,0, {83}']"
20191013t140443,"['0,1,0, {78}']"
6,"['0,1,0, {18}']"
almaden,"['0,1,0, {100}']"
and,"['0,2,0, {112, 121}']"
begin,"['0,2,0, {0, 67}']"
big,"['0,1,0, {109}']"
bren,"['0,3,0, {61, 11, 37}']"
c,"['0,3,0, {97, 131, 93}']"
caldesc,"['0,1,0, {53}']"
calnam,"['0,1,0, {31}']"
calscal,"['0,1,0, {25}']"
carey,"['0,1,0, {105}']"
categori,"['0,1,0, {134}']"
center,"['0,1,0, {102}']"
classic,"['0,1,0, {118}']"
comput,"['0,6,0, {65, 34, 8, 41, 15, 58}']"
creat,"['0,1,0, {79}']"
cs,"['0,3,0, {48, 89, 127}']"
data,"['0,1,0, {110}']"
databas,"['0,1,0, {115}']"
date,"['0,2,0, {75, 71}']"
depart,"['0,3,0, {32, 56, 6}']"
descript,"['0,1,0, {95}']"
distinguish,"['0,1,0, {135}']"
donald,"['0,3,0, {10, 36, 60}']"
dtend,"['0,1,0, {73}']"
dtstamp,"['0,1,0, {77}']"
dtstart,"['0,1,0, {69}']"
ecpv4,"['0,1,0, {17}']"
edu,"['0,3,0, {129, 50, 91}']"
en,"['0,1,0, {24}']"
end,"['0,2,0, {138, 140}']"
event,"['0,2,0, {130, 54}']"
for,"['0,1,0, {55}']"
gregorian,"['0,1,0, {26}']"
http,"['0,2,0, {125, 46}']"
hype,"['0,1,0, {111}']"
ibm,"['0,1,0, {99}']"
inform,"['0,3,0, {40, 64, 14}']"
last,"['0,1,0, {81}']"
lectur,"['0,1,0, {136}']"
mehrotra,"['0,1,0, {107}']"
method,"['0,1,0, {27}']"
michael,"['0,1,0, {104}']"
modern,"['0,2,0, {114, 117}']"
modifi,"['0,1,0, {82}']"
mohan,"['0,3,0, {98, 132, 94}']"
n,"['0,1,0, {123}']"
newsql,"['0,1,0, {120}']"
nhost,"['0,1,0, {103}']"
nonsgml,"['0,1,0, {21}']"
nosql,"['0,1,0, {122}']"
ntitl,"['0,1,0, {108}']"
of,"['0,6,0, {33, 39, 7, 13, 57, 63}']"
origin,"['0,1,0, {44}']"
prodid,"['0,1,0, {5}']"
publish,"['0,1,0, {28}']"
realiti,"['0,1,0, {113}']"
research,"['0,1,0, {101}']"
school,"['0,3,0, {62, 12, 38}']"
scienc,"['0,6,0, {66, 35, 9, 42, 16, 59}']"
seri,"['0,1,0, {137}']"
sharad,"['0,1,0, {106}']"
speaker,"['0,1,0, {96}']"
summari,"['0,1,0, {92}']"
system,"['0,2,0, {116, 119}']"
uci,"['0,3,0, {128, 49, 90}']"
uid,"['0,1,0, {84}']"
url,"['0,2,0, {124, 45}']"
v1,"['0,1,0, {22}']"
valu,"['0,2,0, {74, 70}']"
vcalendar,"['0,2,0, {1, 141}']"
version,"['0,1,0, {2}']"
vevent,"['0,2,0, {139, 68}']"
wr,"['0,2,0, {52, 30}']"
www,"['0,3,0, {88, 126, 47}']"
x,"['0,3,0, {51, 43, 29}']"
